Year (year),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Season (season),Crop code (crop_code),Crop name (crop_name),Crop category (crop_type),Area (area),Area unit (area_unit),Production (production),Production unit (production_unit),Yield (yield),Yield unit (yield_unit)
" 2003-04","Madhya Pradesh","23","Vidisha","437","Kharif     ","1010","Niger Seed","Oilseeds","12.0","Hectare","2.0","Tonnes","0.17","Tonnes/Hectare"
" 2007-08","Assam","18","Jorhat","290","Whole Year ","1302","Tobacco","Drugs And Narcotics","7.0","Hectare","5.0","Tonnes","0.71","Tonnes/Hectare"
" 2003-04","Karnataka","29","Udupi","549","Whole Year ","708","Onion","Vegetable","4.0","Hectare","42.0","Tonnes","10.5","Tonnes/Hectare"
" 2010-11","Maharashtra","27","Nandurbar","486","Rabi       ","102","Jowar","Cereals","32700.0","Hectare","41000.0","Tonnes","1.25","Tonnes/Hectare"
" 2009-10","Uttar Pradesh","9","Shahjahanpur","180","Kharif     ","204","Moong(Green Gram)","Pulses","12.0","Hectare","2.0","Tonnes","0.17","Tonnes/Hectare"
" 2004-05","Assam","18","Nagaon","297","Summer     ","101","Rice","Cereals","58736.0","Hectare","134682.0","Tonnes","2.29","Tonnes/Hectare"
" 2019-20","Madhya Pradesh","23","Sagar","425","Kharif     ","101","Rice","Cereals","7185.0","Hectare","10894.0","Tonnes","1.52","Tonnes/Hectare"
" 2015-16","Maharashtra","27","Gondia","476","Kharif     ","204","Moong(Green Gram)","Pulses","600.0","Hectare","200.0","Tonnes","0.33","Tonnes/Hectare"
" 1999-00","Maharashtra","27","Thane","497","Kharif     ","1003","Sesamum","Oilseeds","1100.0","Hectare","400.0","Tonnes","0.36","Tonnes/Hectare"
" 2015-16","Uttar Pradesh","9","Lalitpur","161","Rabi       ","508","Garlic","Spices","3.0","Hectare","17.0","Tonnes","5.67","Tonnes/Hectare"
" 2008-09","Maharashtra","27","Beed","470","Rabi       ","106","Wheat","Cereals","65200.0","Hectare","80300.0","Tonnes","1.23","Tonnes/Hectare"
